id,nama_barang,harga,jumlah_terjual,bulan,rata_rata,klasifikasi,MinMaxharga,MinMaxJumlahTerjual,MinMaxBulan
128,Baju,175000,107,7,63.666666666666664,Laris,0.043662344535591424,0.00811645346272607,0.5
142,Celana,195000,19,9,53.083333333333336,Tidak Laris,0.04895474993384493,0.00035288928098809,0.7
139,Celana,195000,47,6,53.083333333333336,Tidak Laris,0.04895474993384493,0.00282311424790472,0.4
136,Celana,195000,62,3,53.083333333333336,Laris,0.04895474993384493,0.004146449051610057,0.1
135,Celana,195000,40,2,53.083333333333336,Tidak Laris,0.04895474993384493,0.0022055580061755625,0.0
145,Celana,195000,47,12,53.083333333333336,Tidak Laris,0.04895474993384493,0.00282311424790472,1.0
138,Celana,195000,75,5,53.083333333333336,Laris,0.04895474993384493,0.00529333921482135,0.3
141,Celana,195000,35,8,53.083333333333336,Tidak Laris,0.04895474993384493,0.00176444640494045,0.6
137,Celana,195000,126,4,53.083333333333336,Laris,0.04895474993384493,0.009792677547419497,0.2
140,Celana,195000,80,7,53.083333333333336,Laris,0.04895474993384493,0.005734450816056462,0.5
154,Dress/gamis,250000,47,9,83.0,Tidak Laris,0.06350886477904208,0.00282311424790472,0.7
151,Dress/gamis,250000,60,6,83.0,Tidak Laris,0.06350886477904208,0.003970004411116012,0.4
148,Dress/gamis,250000,72,3,83.0,Tidak Laris,0.06350886477904208,0.0050286722540802825,0.1
147,Dress/gamis,250000,55,2,83.0,Tidak Laris,0.06350886477904208,0.0035288928098809,0.0
157,Dress/gamis,250000,70,12,83.0,Tidak Laris,0.06350886477904208,0.004852227613586237,1.0
150,Dress/gamis,250000,180,5,83.0,Laris,0.06350886477904208,0.014556682840758712,0.3
153,Dress/gamis,250000,45,8,83.0,Tidak Laris,0.06350886477904208,0.002646669607410675,0.6
149,Dress/gamis,250000,210,4,83.0,Laris,0.06350886477904208,0.017203352448169385,0.2
152,Dress/gamis,250000,87,7,83.0,Laris,0.06350886477904208,0.00635200705778562,0.5
166,Hijab,35000,83,9,195.0,Tidak Laris,0.006615506747816882,0.00599911777679753,0.7
163,Hijab,35000,120,6,195.0,Tidak Laris,0.006615506747816882,0.009263343625937363,0.4
160,Hijab,35000,230,3,195.0,Laris,0.006615506747816882,0.018967798853109837,0.1
159,Hijab,35000,100,2,195.0,Tidak Laris,0.006615506747816882,0.007498897220996913,0.0
169,Hijab,35000,211,12,195.0,Laris,0.006615506747816882,0.01729157476841641,1.0
162,Hijab,35000,314,5,195.0,Laris,0.006615506747816882,0.026378473753859728,0.3
165,Hijab,35000,93,8,195.0,Tidak Laris,0.006615506747816882,0.006881340979267755,0.6
161,Hijab,35000,570,4,195.0,Laris,0.006615506747816882,0.048963387737097484,0.2
164,Hijab,35000,325,7,195.0,Laris,0.006615506747816882,0.027348919276576972,0.5
178,Tas,285000,21,9,23.083333333333332,Tidak Laris,0.0727705742259857,0.000529333921482135,0.7
175,Tas,285000,15,6,23.083333333333332,Tidak Laris,0.0727705742259857,0.0,0.4
172,Tas,285000,22,3,23.083333333333332,Tidak Laris,0.0727705742259857,0.0006175562417291574,0.1
171,Tas,285000,17,2,23.083333333333332,Tidak Laris,0.0727705742259857,0.000176444640494045,0.0
181,Tas,285000,32,12,23.083333333333332,Laris,0.0727705742259857,0.0014997794441993825,1.0
174,Tas,285000,30,5,23.083333333333332,Laris,0.0727705742259857,0.0013233348037053375,0.3
177,Tas,285000,18,8,23.083333333333332,Tidak Laris,0.0727705742259857,0.0002646669607410675,0.6
173,Tas,285000,46,4,23.083333333333332,Laris,0.0727705742259857,0.0027348919276576973,0.2
176,Tas,285000,43,7,23.083333333333332,Laris,0.0727705742259857,0.0024702249669166297,0.5
